Fecha_datetime,Year,Month,Day,NO2_trop_mean,NO2_trop_std,WeekofYear,NO2_trop_mean_complete,NO2_trop_std_complete
2018-09-09T00:00:00Z,2018,9,9,4.186987556392514e-5,1.199894368780758e-5,2018W36,4.186987556392514e-5,1.199894368780758e-5
2018-09-10T00:00:00Z,2018,9,10,4.4170308122451774e-5,1.6284198309476752e-5,2018W37,4.4170308122451774e-5,1.6284198309476752e-5
2018-09-11T00:00:00Z,2018,9,11,7.487555558011749e-5,4.484774078975711e-5,2018W37,7.487555558011749e-5,4.484774078975711e-5
2018-09-12T00:00:00Z,2018,9,12,NA,NA,2018W37,1.1475240907682477e-4,6.310580173129164e-5
2018-09-13T00:00:00Z,2018,9,13,1.360901236411e-4,5.9245281566837364e-5,2018W37,1.360901236411e-4,5.924528156683736e-5
2018-09-14T00:00:00Z,2018,9,14,9.162232207775062e-5,2.3478923066995857e-5,2018W37,9.162232207775062e-5,2.3478923066995857e-5
2018-09-15T00:00:00Z,2018,9,15,NA,NA,2018W37,0,0
2018-09-16T00:00:00Z,2018,9,16,3.4067084106145514e-5,9.580558794957156e-6,2018W37,3.4067084106145453e-5,9.580558794957182e-6
2018-09-17T00:00:00Z,2018,9,17,3.862206865966e-4,1.918464324949e-4,2018W38,3.862206865966e-4,1.918464324949e-4
2018-09-18T00:00:00Z,2018,9,18,4.2557686185091074e-5,1.6241748970370074e-5,2018W38,4.255768618509104e-5,1.6241748970370135e-5
2018-09-19T00:00:00Z,2018,9,19,4.363786461789006e-5,1.402109052547321e-5,2018W38,4.363786461789006e-5,1.402109052547321e-5
2018-09-20T00:00:00Z,2018,9,20,2.9621526045937008e-5,1.386602379062947e-5,2018W38,2.9621526045936994e-5,1.3866023790629467e-5
2018-09-21T00:00:00Z,2018,9,21,1.415241296075e-4,6.047163864818693e-5,2018W38,1.415241296075e-4,6.047163864818693e-5
2018-09-22T00:00:00Z,2018,9,22,5.601639952304684e-5,2.244504052487684e-5,2018W38,5.601639952304686e-5,2.2445040524876836e-5
2018-09-23T00:00:00Z,2018,9,23,NA,NA,2018W38,2.1119155516813137e-5,6.229379576918373e-6
2018-09-24T00:00:00Z,2018,9,24,4.107874420410626e-5,1.2962094654802326e-5,2018W39,4.107874420410627e-5,1.2962094654802326e-5
2018-09-25T00:00:00Z,2018,9,25,4.226291328055588e-5,1.6814753614548433e-5,2018W39,4.226291328055588e-5,1.6814753614548433e-5
2018-09-26T00:00:00Z,2018,9,26,8.397402867488103e-5,5.5713916877467545e-5,2018W39,8.397402867488103e-5,5.5713916877467545e-5
2018-09-27T00:00:00Z,2018,9,27,NA,NA,2018W39,1.2688385981705273e-4,7.725945769670408e-5
2018-09-28T00:00:00Z,2018,9,28,NA,NA,2018W39,1.3624511753387245e-4,6.744472152193524e-5
2018-09-29T00:00:00Z,2018,9,29,8.795642560179404e-5,3.013740780615879e-5,2018W39,8.795642560179405e-5,3.0137407806158742e-5
2018-09-30T00:00:00Z,2018,9,30,NA,NA,2018W39,2.035050570177403e-6,0
2018-10-01T00:00:00Z,2018,10,1,7.497283008000658e-5,2.3527390918919607e-5,2018W40,7.497283008000659e-5,2.3527390918919604e-5
2018-10-02T00:00:00Z,2018,10,2,2.976042856924e-4,1.296580858016e-4,2018W40,2.976042856924e-4,1.296580858016e-4
2018-10-03T00:00:00Z,2018,10,3,1.16327782328e-4,3.852286100191562e-5,2018W40,1.1632778232800002e-4,3.852286100191562e-5
2018-10-04T00:00:00Z,2018,10,4,2.0112028038855e-4,6.727674944658805e-5,2018W40,2.0112028038855e-4,6.727674944658805e-5
2018-10-05T00:00:00Z,2018,10,5,2.905710716596e-4,9.10957510609775e-5,2018W40,2.905710716596e-4,9.10957510609775e-5
2018-10-06T00:00:00Z,2018,10,6,6.148685630563025e-5,2.4101530627008585e-5,2018W40,6.148685630563025e-5,2.4101530627008585e-5
2018-10-07T00:00:00Z,2018,10,7,7.508518973657826e-5,3.196976623310025e-5,2018W40,7.508518973657827e-5,3.196976623310025e-5
2018-10-08T00:00:00Z,2018,10,8,7.403419350888642e-5,2.770979599601311e-5,2018W41,7.403419350888642e-5,2.770979599601311e-5
2018-10-09T00:00:00Z,2018,10,9,8.361599527902218e-5,3.233607919604126e-5,2018W41,8.361599527902218e-5,3.233607919604126e-5
2018-10-10T00:00:00Z,2018,10,10,9.043254071172992e-5,3.0433399737773405e-5,2018W41,9.043254071172992e-5,3.0433399737773405e-5
2018-10-11T00:00:00Z,2018,10,11,NA,NA,2018W41,9.993125931011725e-5,3.678098692310453e-5
2018-10-12T00:00:00Z,2018,10,12,NA,NA,2018W41,1.0439510368626094e-4,4.383467651622726e-5
2018-10-13T00:00:00Z,2018,10,13,8.759596575992909e-5,3.4221427194895e-5,2018W41,8.759596575992909e-5,3.4221427194895e-5
2018-10-14T00:00:00Z,2018,10,14,5.7015101813322735e-5,1.2105346769830947e-5,2018W41,5.7015101813322735e-5,1.2105346769830947e-5
2018-10-15T00:00:00Z,2018,10,15,NA,NA,2018W42,8.110337198239339e-5,3.6362228172393606e-5
2018-10-16T00:00:00Z,2018,10,16,1.165495863816e-4,6.165736782193554e-5,2018W42,1.1654958638159999e-4,6.165736782193554e-5
